03-03-2026 00:09:38.058 [https-jsse-nio-8183-exec-4] INFO  i.e.i.d.h.ArtifactMessageHandler - Handling header through ArtifactMessageHandler 
03-03-2026 00:09:41.738 [https-jsse-nio-8183-exec-5] INFO  i.e.i.d.w.r.DataControllerBodyForm - Multipart/form request 
03-03-2026 00:09:41.752 [https-jsse-nio-8183-exec-5] INFO  i.e.i.d.h.ArtifactMessageHandler - Handling header through ArtifactMessageHandler 
03-03-2026 00:10:36.088 [https-jsse-nio-8183-exec-6] INFO  i.e.i.d.w.r.DataControllerBodyForm - Multipart/form request 
03-03-2026 00:10:36.108 [https-jsse-nio-8183-exec-6] INFO  i.e.i.d.h.ArtifactMessageHandler - Handling header through ArtifactMessageHandler 
03-03-2026 00:10:39.784 [https-jsse-nio-8183-exec-7] INFO  i.e.i.d.w.r.DataControllerBodyForm - Multipart/form request 
03-03-2026 00:10:39.796 [https-jsse-nio-8183-exec-7] INFO  i.e.i.d.h.ArtifactMessageHandler - Handling header through ArtifactMessageHandler 
03-03-2026 00:11:34.161 [https-jsse-nio-8183-exec-8] INFO  i.e.i.d.w.r.DataControllerBodyForm - Multipart/form request 
03-03-2026 00:11:34.177 [https-jsse-nio-8183-exec-8] INFO  i.e.i.d.h.ArtifactMessageHandler - Handling header through ArtifactMessageHandler 
03-03-2026 00:11:37.851 [https-jsse-nio-8183-exec-9] INFO  i.e.i.d.w.r.DataControllerBodyForm - Multipart/form request 
03-03-2026 00:11:37.871 [https-jsse-nio-8183-exec-9] INFO  i.e.i.d.h.ArtifactMessageHandler - Handling header through ArtifactMessageHandler 
03-03-2026 00:12:30.478 [https-jsse-nio-8183-exec-10] INFO  i.e.i.d.w.r.DataControllerBodyForm - Multipart/form request 
03-03-2026 00:12:30.495 [https-jsse-nio-8183-exec-10] INFO  i.e.i.d.h.ArtifactMessageHandler - Handling header through ArtifactMessageHandler 
03-03-2026 00:12:34.313 [https-jsse-nio-8183-exec-1] INFO  i.e.i.d.w.r.DataControllerBodyForm - Multipart/form request 
03-03-2026 00:12:34.328 [https-jsse-nio-8183-exec-1] INFO  i.e.i.d.h.ArtifactMessageHandler - Handling header through ArtifactMessageHandler 
03-03-2026 00:13:25.836 [https-jsse-nio-8183-exec-2] INFO  i.e.i.d.w.r.DataControllerBodyForm - Multipart/form request 
03-03-2026 00:13:25.848 [https-jsse-nio-8183-exec-2] INFO  i.e.i.d.h.ArtifactMessageHandler - Handling header through ArtifactMessageHandler 
03-03-2026 00:13:29.564 [https-jsse-nio-8183-exec-3] INFO  i.e.i.d.w.r.DataControllerBodyForm - Multipart/form request 
03-03-2026 00:13:29.577 [https-jsse-nio-8183-exec-3] INFO  i.e.i.d.h.ArtifactMessageHandler - Handling header through ArtifactMessageHandler 
03-03-2026 00:18:42.985 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - Starting ApplicationDataApp v0.3.8 using Java 17.0.18 on b4552af1c953 with PID 1 (/home/nobody/app/application.jar started by nobody in /home/nobody) 
03-03-2026 00:18:42.987 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - The following 1 profile is active: "docker" 
03-03-2026 00:18:42.992 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - Starting ApplicationDataApp v0.3.8 using Java 17.0.18 on cb48b542b751 with PID 1 (/home/nobody/app/application.jar started by nobody in /home/nobody) 
03-03-2026 00:18:42.994 [restartedMain] INFO  i.e.idsa.dataapp.ApplicationDataApp - The following 1 profile is active: "docker" 
